"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Antaxie marbrée  ( Antaxius pedestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65765	"Antaxius pedestris"	"Antaxius pedestris (Fabricius, 1787)"	"Antaxie marbrée, Antaxie commune, Decticelle marbrée"			"LC"	""									
"Dectique des brandes  ( Gampsocleis glabra )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65771	"Gampsocleis glabra"	"Gampsocleis glabra (Herbst, 1786)"	"Dectique des brandes"			"EN"	"B2ab(i,ii,iii,iv)"									
"Grande Sauterelle verte  ( Tettigonia viridissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65774	"Tettigonia viridissima"	"Tettigonia viridissima (Linnaeus, 1758)"	"Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas"			"LC"	""									
"Sauterelle cymbalière  ( Tettigonia cantans )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65869	"Tettigonia cantans"	"Tettigonia cantans (Fuessly, 1775)"	"Sauterelle cymbalière, Sauterelle chanteuse"			"LC"	""									
"Conocéphale africain  ( Conocephalus conocephalus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65875	"Conocephalus conocephalus"	"Conocephalus conocephalus (Linnaeus, 1767)"	"Conocéphale africain"			"CR"	"B1,B2ab (i,ii,iii,iv)"									
"Conocéphale bigarré  ( Conocephalus fuscus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus fuscus"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"			"LC"	""									
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"			"EN"	"B2ab(i,ii,iii,iv)"									"Déterminante"
"Conocéphale gracieux  ( Ruspolia nitidula )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65882	"Ruspolia nitidula"	"Ruspolia nitidula (Scopoli, 1786)"	"Conocéphale gracieux, Conocéphale mandibulaire"			"LC"	""									
"Méconème tambourinaire  ( Meconema thalassinum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65889	"Meconema thalassinum"	"Meconema thalassinum (De Geer, 1773)"	"Méconème tambourinaire, Méconème varié,  Sauterelle des Chênes"			"LC"	""									
"Méconème fragile  ( Meconema meridionale )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65891	"Meconema meridionale"	"Meconema meridionale A. Costa, 1860"	"Méconème fragile"			"LC"	""									
"Méconème scutigère  ( Cyrtaspis scutata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65894	"Cyrtaspis scutata"	"Cyrtaspis scutata (Charpentier, 1825)"	"Méconème scutigère,  Sauterelle à carapace"			"LC"	""									
"Courtilière provençale  ( Gryllotalpa septemdecimchromosomica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65898	"Gryllotalpa septemdecimchromosomica"	"Gryllotalpa septemdecimchromosomica Ortiz, 1958"	"Courtilière provençale"			"DD"	""									"Déterminante"
"Courtilière commune  ( Gryllotalpa gryllotalpa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65899	"Gryllotalpa gryllotalpa"	"Gryllotalpa gryllotalpa (Linnaeus, 1758)"	"Courtilière commune, Courtilière, Taupe-Grillon, Perce-chaussée, Taupette, Avant-taupe, Ecrevisse de terre, Loup de terre"			"NT"	"pr. B2b (ii,iii,iv)"									
"Grillon provençal  ( Gryllus bimaculatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65909	"Gryllus bimaculatus"	"Gryllus bimaculatus De Geer, 1773"	"Grillon provençal"			"LC"	""									
"Grillon champêtre  ( Gryllus campestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65910	"Gryllus campestris"	"Gryllus campestris Linnaeus, 1758"	"Grillon champêtre, Grillon des champs, Gril, Riquet, Cricri,Grésillon, Grillon sauvage, Petit Cheval du Bon Dieu, Grill"			"LC"	""									
"Grillon domestique  ( Acheta domesticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65918	"Acheta domesticus"	"Acheta domesticus (Linnaeus, 1758)"	"Grillon domestique, Grillon du foyer, Cri-cri, Grelet, Grillon des maisons, Grillet, Grillot, Crinchon, Guersillon, Petit Cheval du Bon Dieu"			"DD"	""									
"Grillon noirâtre  ( Melanogryllus desertus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65923	"Melanogryllus desertus"	"Melanogryllus desertus (Pallas, 1771)"	"Grillon noirâtre, Grillon pubescent"			"LC"	""									
"Grillon testacé  ( Eugryllodes pipiens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65928	"Eugryllodes pipiens"	"Eugryllodes pipiens (Dufour, 1820)"	"Grillon testacé, Grillon de montagne"			"LC"	""									
