"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Trithémis annelé  ( Trithemis annulata )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	199692	"Trithemis annulata"	"Trithemis annulata (Palisot de Beauvois, 1807)"	"Trithémis annelé (Le)"	"LC"	""											
"Cordulégastre annelé  ( Cordulegaster boltonii )"	"Arthropoda"	"Insecta"	"Odonata"	"Cordulegastridae"	199694	"Cordulegaster boltonii"	"Cordulegaster boltonii (Donovan, 1807)"	"Cordulégastre annelé (Le)"	"LC"	""	"LC"	""									
"Aeschne isocèle  ( Aeshna isoceles )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	199909	"Aeshna isoceles"	"Aeshna isoceles (O.F. Müller, 1767)"	"Aeschne isocèle"	"LC"	""	"NA"	""									
"Lindénie à quatre feuilles  ( Lindenia tetraphylla )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	309401	"Lindenia tetraphylla"	"Lindenia tetraphylla (Vander Linden, 1825)"	"Lindénie à quatre feuilles"					"CDH4, CDH2"	" "							
"Cordulie méridionale  ( Somatochlora meridionalis )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	309409	"Somatochlora meridionalis"	"Somatochlora meridionalis Nielsen, 1935"	"Cordulie méridionale"	"NT"	"pr. B2a"											
"Agrion de Vander Linden  ( Erythromma lindenii )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	645873	"Erythromma lindenii"	"Erythromma lindenii (Selys-Longchamps, 1840)"	"Agrion de Vander Linden, Naïade de Vander Linden"	"LC"	""	"LC"	""									
"Caloptéryx éclatant  ( Calopteryx splendens )"	"Arthropoda"	"Insecta"	"Odonata"	"Calopterygidae"	653281	"Calopteryx splendens"	"Calopteryx splendens (Harris, 1780)"	"Caloptéryx éclatant"	"LC"	""	"LC"	""									
"Agrion délicat  ( Ceriagrion tenellum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	653286	"Ceriagrion tenellum"	"Ceriagrion tenellum (Villers, 1789)"	"Agrion délicat"	"LC"	""	"LC"	""									
"Gomphe semblable  ( Gomphus simillimus )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	653291	"Gomphus simillimus"	"Gomphus simillimus Selys, 1840"	"Gomphe semblable (Le)"	"LC"	""	"VU"	"D2"									
"*  Leste enfant  ( Sympecma paedisca )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	653293	"Sympecma paedisca"	"Sympecma paedisca (Brauer, 1877)"	"Leste enfant"	"RE"	""					"NI2"	""					
"Leste italien  ( Chalcolestes parvidens )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	653299	"Chalcolestes parvidens"	"Chalcolestes parvidens (Artobolevskij, 1929)"	"Leste italien"	"DD"	""											
