"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Ampedus melanurus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11509	"Ampedus melanurus"	"Ampedus melanurus Mulsant & Guillebeau, 1855"	""													"Déterminante stricte"
"-  ( Ampedus nigrinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11510	"Ampedus nigrinus"	"Ampedus nigrinus (Herbst, 1784)"	""													"Déterminante stricte"
"-  ( Ampedus quadrisignatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11514	"Ampedus quadrisignatus"	"Ampedus quadrisignatus (Gyllenhal, 1817)"	""													"Déterminante stricte"
"Akis ponctué  ( Akis bacarozzo )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	11968	"Akis bacarozzo"	"Akis bacarozzo (Schrank, 1786)"	"Akis ponctué"													"Déterminante stricte"
"-  ( Scaurus tristis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	11971	"Scaurus tristis"	"Scaurus tristis Olivier, 1795"	""													"Déterminante stricte"
"*  Grand Capricorne  ( Cerambyx cerdo )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12336	"Cerambyx cerdo"	"Cerambyx cerdo Linnaeus, 1758"	"Grand Capricorne (Le)"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Rosalie des Alpes  ( Rosalia alpina )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12348	"Rosalia alpina"	"Rosalia alpina (Linnaeus, 1758)"	"Rosalie des Alpes"					"CDH4, CDH2"	" "	"NI2"	""					
"Taupin violacé  ( Limoniscus violaceus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	159441	"Limoniscus violaceus"	"Limoniscus violaceus (P.W.J. Müller, 1821)"	"Taupin violacé"					"CDH2"	""							"Déterminante stricte"
"*  Cucujus vermillon  ( Cucujus cinnaberinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cucujidae"	159452	"Cucujus cinnaberinus"	"Cucujus cinnaberinus (Scopoli, 1763)"	"Cucujus vermillon"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Aesalus scarabaeoides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200336	"Aesalus scarabaeoides"	"Aesalus scarabaeoides (Panzer, 1795)"	""													"Déterminante stricte"
"-  ( Calicnemis latreillii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200405	"Calicnemis latreillii"	"Calicnemis latreillii Laporte de Castelnau, 1832"	""													"Déterminante stricte"
"-  ( Ceruchus chrysomelinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200406	"Ceruchus chrysomelinus"	"Ceruchus chrysomelinus (Hochenwarth, 1785)"	""													"Déterminante stricte"
"-  ( Loraphodius suarius )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200476	"Loraphodius suarius"	"Loraphodius suarius (Faldermann, 1835)"	""													"Déterminante stricte"
"Lucane Cerf-volant  ( Lucanus cervus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200478	"Lucanus cervus cervus"	"Lucanus cervus cervus (Linnaeus, 1758)"	"Lucane Cerf-volant"					"CDH2"	""							
"-  ( Mecynodes striatulus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200481	"Mecynodes striatulus"	"Mecynodes striatulus (Waltl, 1835)"	""													"Déterminante stricte"
"*  Barbot  ( Osmoderma eremita eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200519	"Osmoderma eremita eremita"	"Osmoderma eremita eremita (Scopoli, 1763)"	"Barbot, Pique-prune"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Parammoecius pyrenaeus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200526	"Parammoecius pyrenaeus"	"Parammoecius pyrenaeus (Jacquelin du Val in Jaquelin du Val & Fairmaire, 1868)"	""													"Déterminante stricte"
"-  ( Stephanopachys linearis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222052	"Stephanopachys linearis"	"Stephanopachys linearis (Kugelann, 1792)"	""					"CDH2"	""							"Déterminante stricte"
"-  ( Stephanopachys substriatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222054	"Stephanopachys substriatus"	"Stephanopachys substriatus (Paykull, 1800)"	""					"CDH2"	""							
"-  ( Bothrideres contractus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	222065	"Bothrideres contractus"	"Bothrideres bipunctatus (Gmelin, 1790)"	""													"Déterminante stricte"
"-  ( Oxylaemus variolosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	222075	"Oxylaemus variolosus"	"Oxylaemus variolosus (Dufour, 1843)"	""													"Déterminante stricte"
"-  ( Anthaxia midas )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222085	"Anthaxia midas"	"Anthaxia midas Kiesenwetter, 1857"	""													"Déterminante stricte"
"-  ( Phaenops sumptuosa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222115	"Phaenops sumptuosa"	"Phaenops sumptuosa Abeille de Perrin, 1904"	""													"Déterminante stricte"
"-  ( Agrilus massanensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222140	"Agrilus massanensis"	"Agrilus massanensis Schaefer, 1955"	""													"Déterminante stricte"
"*  -  ( Trichaphaenops cerdonicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222671	"Trichaphaenops cerdonicus"	"Trichaphaenops cerdonicus (Abeille de Perrin, 1903)"	""							"NI3"	""					
