"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN_N"	"LRN_N_det"	"LRN_H"	"LRN_H_det"	"LRN_P"	"LRN_P_det"	"LRR_N"	"LRR_N_det"	"LRR_H"	"LRR_H_det"	"LRR_P"	"LRR_P_det"	"DO"	"DO_det"	"PN"	"PN_det"	"ZNIEFF"
"*  Guêpier d'Europe  ( Merops apiaster )"	"Chordata"	"Aves"	"Coraciiformes"	"Meropidae"	3582	"Merops apiaster"	"Merops apiaster Linnaeus, 1758"	"Guêpier d'Europe"	"LC"	""			"NA"	"d"	"NT"	"VU (A2a) (-1)"							"NO3"	""	
"*  Rollier d'Europe  ( Coracias garrulus )"	"Chordata"	"Aves"	"Coraciiformes"	"Coraciidae"	3586	"Coracias garrulus"	"Coracias garrulus Linnaeus, 1758"	"Rollier d'Europe"	"NT"	"pr. D1"			"NA"	"d"	"NT"	"pr. D1"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 9 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux agrosystèmes si moins de 9 couples"
"*  Huppe fasciée  ( Upupa epops )"	"Chordata"	"Aves"	"Bucerotiformes"	"Upupidae"	3590	"Upupa epops"	"Upupa epops Linnaeus, 1758"	"Huppe fasciée"	"LC"	""	"NA"	"d"			"LC"	""							"NO3"	""	
"*  Torcol fourmilier  ( Jynx torquilla )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3595	"Jynx torquilla"	"Jynx torquilla Linnaeus, 1758"	"Torcol fourmilier"	"LC"	""	"NA"	"c"	"NA"	"c"	"NT"	"pr. D1"							"NO3"	""	
"*  Pic cendré  ( Picus canus )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3601	"Picus canus"	"Picus canus Gmelin, 1788"	"Pic cendré"	"EN"	"A2b"											"CDO1"	""	"NO3"	""	
"*  Pic vert  ( Picus viridis )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3603	"Picus viridis"	"Picus viridis Linnaeus, 1758"	"Pic vert, Pivert"	"LC"	""					"LC"	"pr. C1 (-1)"							"NO3"	""	
"*  Pic noir  ( Dryocopus martius )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3608	"Dryocopus martius"	"Dryocopus martius (Linnaeus, 1758)"	"Pic noir"	"LC"	""					"LC"	""					"CDO1"	""	"NO3"	""	
"*  Pic épeiche  ( Dendrocopos major )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3611	"Dendrocopos major"	"Dendrocopos major (Linnaeus, 1758)"	"Pic épeiche"	"LC"	""	"NA"	"d"			"LC"	""							"NO3"	""	
"*  Pic mar  ( Dendrocopos medius )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3619	"Dendrocopos medius"	"Dendrocopos medius (Linnaeus, 1758)"	"Pic mar"	"LC"	""					"VU"	"EN (D1) (-1)"					"CDO1"	""	"NO3"	""	
"*  Pic à dos blanc  ( Dendrocopos leucotos )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3625	"Dendrocopos leucotos"	"Dendrocopos leucotos (Bechstein, 1803)"	"Pic à dos blanc"	"VU"	"D1"											"CDO1"	""	"NO3"	""	
"*  Pic épeichette  ( Dendrocopos minor )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3630	"Dendrocopos minor"	"Dendrocopos minor (Linnaeus, 1758)"	"Pic épeichette"	"VU"	"A2b"					"LC"	""							"NO3"	""	
"*  Pic tridactyle  ( Picoides tridactylus )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	3638	"Picoides tridactylus"	"Picoides tridactylus (Linnaeus, 1758)"	"Pic tridactyle"	"CR"	"D"											"CDO1"	""	"NO3"	""	
"*  Alouette calandre  ( Melanocorypha calandra )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3644	"Melanocorypha calandra"	"Melanocorypha calandra (Linnaeus, 1766)"	"Alouette calandre"	"EN"	"B2ab(iii)"					"CR"	"A2c C(1+2)a(i,ii) D1"					"CDO1"	""	"NO3"	""	
"*  Alouette monticole  ( Melanocorypha bimaculata )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3646	"Melanocorypha bimaculata"	"Melanocorypha bimaculata (Ménétries, 1832)"	"Alouette monticole"															"NO4"	""	
"*  Alouette calandrelle  ( Calandrella brachydactyla )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3649	"Calandrella brachydactyla"	"Calandrella brachydactyla (Leisler, 1814)"	"Alouette calandrelle"	"EN"	"A2b C1"					"EN"	"C2a(i)"					"CDO1"	""	"NO3"	""	"Déterminante stricte"
"*  Cochevis huppé  ( Galerida cristata )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3656	"Galerida cristata"	"Galerida cristata (Linnaeus, 1758)"	"Cochevis huppé"	"LC"	""					"LC"	""							"NO3"	""	
"*  Cochevis de Thékla  ( Galerida theklae )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3661	"Galerida theklae"	"Galerida theklae (C. L. Brehm, 1858)"	"Cochevis de Thékla"	"EN"	"B(1+2)ab(iii,v)"					"EN"	"B(1+2)ab(iii,v)"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 3 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux garrigues si moins de 3 couples"
"*  Sirli de Dupont  ( Chersophilus duponti )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3666	"Chersophilus duponti"	"Chersophilus duponti (Vieillot, 1820)"	"Sirli de Dupont"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Alouette lulu  ( Lullula arborea )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3670	"Lullula arborea"	"Lullula arborea (Linnaeus, 1758)"	"Alouette lulu"	"LC"	""	"NA"	"c"			"LC"	""					"CDO1"	""	"NO3"	""	
"Alouette des champs  ( Alauda arvensis )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3676	"Alauda arvensis"	"Alauda arvensis Linnaeus, 1758"	"Alouette des champs"	"NT"	"pr. A2b"	"LC"	""	"NA"	"d"	"LC"	""					"CDO22"	""			
"*  Alouette haussecol  ( Eremophila alpestris )"	"Chordata"	"Aves"	"Passeriformes"	"Alaudidae"	3681	"Eremophila alpestris"	"Eremophila alpestris (Linnaeus, 1758)"	"Alouette haussecol"			"NA"	"c"											"NO3"	""	
"*  Hirondelle de rivage  ( Riparia riparia )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	3688	"Riparia riparia"	"Riparia riparia (Linnaeus, 1758)"	"Hirondelle de rivage"	"LC"	""			"DD"	""	"EN"	"B(1+2)b(iii)c(iii)"							"NO3"	""	
"*  Hirondelle de rochers  ( Ptyonoprogne rupestris )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	3692	"Ptyonoprogne rupestris"	"Ptyonoprogne rupestris (Scopoli, 1769)"	"Hirondelle de rochers"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Hirondelle rustique  ( Hirundo rustica )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	3696	"Hirundo rustica"	"Hirundo rustica Linnaeus, 1758"	"Hirondelle rustique, Hirondelle de cheminée"	"NT"	"pr. A2b"			"DD"	""	"NT"	"pr. A2a"							"NO3"	""	
"*  Hirondelle rousseline  ( Cecropis daurica )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	3701	"Cecropis daurica"	"Cecropis daurica (Laxmann, 1769)"	"Hirondelle rousseline"	"VU"	"D1"			"NA"	"d"	"VU"	"D1"							"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Pipit de Richard  ( Anthus richardi )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3709	"Anthus richardi"	"Anthus richardi Vieillot, 1818"	"Pipit de Richard"					"NA"	"b"									"NO4"	""	
"*  Pipit rousseline  ( Anthus campestris )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3713	"Anthus campestris"	"Anthus campestris (Linnaeus, 1758)"	"Pipit rousseline"	"LC"	""			"NA"	"d"	"VU"	"A2b"					"CDO1"	""	"NO3"	""	
"*  Pipit maritime  ( Anthus petrosus )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3716	"Anthus petrosus"	"Anthus petrosus (Montagu, 1798)"	"Pipit maritime"	"NT"	"pr. C"	"NA"	"c"	"NA"	"d"									"NO3"	""	
"*  -  ( Anthus petrosus littoralis )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3719	"Anthus petrosus littoralis"	"Anthus petrosus littoralis Brehm, 1823"	""															"NO3"	""	
"*  -  ( Anthus petrosus petrosus )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3721	"Anthus petrosus petrosus"	"Anthus petrosus petrosus (Montagu, 1798)"	""															"NO3"	""	
"*  Pipit des arbres  ( Anthus trivialis )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3723	"Anthus trivialis"	"Anthus trivialis (Linnaeus, 1758)"	"Pipit des arbres"	"LC"	""			"DD"	""	"LC"	""							"NO3"	""	
"*  Pipit farlouse  ( Anthus pratensis )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3726	"Anthus pratensis"	"Anthus pratensis (Linnaeus, 1758)"	"Pipit farlouse"	"VU"	"A2b"	"DD"	""	"NA"	"d"	"VU"	"D1"							"NO3"	""	
"*  Pipit à gorge rousse  ( Anthus cervinus )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3729	"Anthus cervinus"	"Anthus cervinus (Pallas, 1811)"	"Pipit à gorge rousse"					"NA"	"d"									"NO4"	""	
"*  Pipit spioncelle  ( Anthus spinoletta )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3733	"Anthus spinoletta"	"Anthus spinoletta (Linnaeus, 1758)"	"Pipit spioncelle"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Pipit à dos olive  ( Anthus hodgsoni )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3736	"Anthus hodgsoni"	"Anthus hodgsoni Richmond, 1907"	"Pipit à dos olive"					"NA"	"b"									"NO4"	""	
"*  Pipit de la Petchora  ( Anthus gustavi )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3738	"Anthus gustavi"	"Anthus gustavi Swinhoe, 1863"	"Pipit de la Petchora"					"NA"	"b"									"NO4"	""	
"*  Bergeronnette printanière  ( Motacilla flava )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3741	"Motacilla flava"	"Motacilla flava Linnaeus, 1758"	"Bergeronnette printanière"	"LC"	""			"DD"	""	"NT"	"pr. B(1+2)b(iii) D1"							"NO3"	""	
"*  -  ( Motacilla flava flava )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3744	"Motacilla flava flava"	"Motacilla flava flava Linnaeus, 1758"	""															"NO3"	""	
"*  Bergeronnette flavéole  ( Motacilla flava flavissima )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3745	"Motacilla flava flavissima"	"Motacilla flava flavissima (Blyth, 1834)"	"Bergeronnette flavéole"															"NO3"	""	
"*  Bergeronnette ibérique  ( Motacilla flava iberiae )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3747	"Motacilla flava iberiae"	"Motacilla flava iberiae Hartert, 1921"	"Bergeronnette ibérique"															"NO3"	""	
"*  Bergeronnette d’Italie  ( Motacilla flava cinereocapilla )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3748	"Motacilla flava cinereocapilla"	"Motacilla flava cinereocapilla Savi, 1831"	"Bergeronnette d’Italie"															"NO3"	""	
"*  Bergeronnette nordique  ( Motacilla flava thunbergi )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3751	"Motacilla flava thunbergi"	"Motacilla flava thunbergi Billeberg, 1829"	"Bergeronnette nordique"															"NO3"	""	
"*  Bergeronnette des Balkans  ( Motacilla flava feldegg )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3752	"Motacilla flava feldegg"	"Motacilla flava feldegg Michahelles, 1830"	"Bergeronnette des Balkans"															"NO3"	""	
"*  Bergeronnette des ruisseaux  ( Motacilla cinerea )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3755	"Motacilla cinerea"	"Motacilla cinerea Tunstall, 1771"	"Bergeronnette des ruisseaux"	"LC"	""	"NA"	"d"			"LC"	""							"NO3"	""	
"*  Mésange charbonnière  ( Parus major )"	"Chordata"	"Aves"	"Passeriformes"	"Paridae"	3764	"Parus major"	"Parus major Linnaeus, 1758"	"Mésange charbonnière"	"LC"	""	"NA"	"b"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Sittelle corse  ( Sitta whiteheadi )"	"Chordata"	"Aves"	"Passeriformes"	"Sittidae"	3772	"Sitta whiteheadi"	"Sitta whiteheadi Sharpe, 1884"	"Sittelle corse"	"VU"	"C1+2a(ii)"											"CDO1"	""	"NO3"	""	
"*  Sittelle torchepot  ( Sitta europaea )"	"Chordata"	"Aves"	"Passeriformes"	"Sittidae"	3774	"Sitta europaea"	"Sitta europaea Linnaeus, 1758"	"Sittelle torchepot"	"LC"	""					"LC"	""							"NO3"	""	
"*  Tichodrome échelette  ( Tichodroma muraria )"	"Chordata"	"Aves"	"Passeriformes"	"Sittidae"	3780	"Tichodroma muraria"	"Tichodroma muraria (Linnaeus, 1766)"	"Tichodrome échelette"	"NT"	"pr. D1"					"CR"	"D1"							"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Grimpereau des bois  ( Certhia familiaris )"	"Chordata"	"Aves"	"Passeriformes"	"Certhiidae"	3784	"Certhia familiaris"	"Certhia familiaris Linnaeus, 1758"	"Grimpereau des bois"	"LC"	""			"NA"	"b"	"LC"	""							"NO3"	""	
"*  Grimpereau des jardins  ( Certhia brachydactyla )"	"Chordata"	"Aves"	"Passeriformes"	"Certhiidae"	3791	"Certhia brachydactyla"	"Certhia brachydactyla C.L. Brehm, 1820"	"Grimpereau des jardins"	"LC"	""					"LC"	""							"NO3"	""	
"*  Rémiz penduline  ( Remiz pendulinus )"	"Chordata"	"Aves"	"Passeriformes"	"Remizidae"	3798	"Remiz pendulinus"	"Remiz pendulinus (Linnaeus, 1758)"	"Rémiz penduline, Mésange rémiz"	"CR"	"D"			"DD"	""	"RE"	""							"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Loriot d'Europe  ( Oriolus oriolus )"	"Chordata"	"Aves"	"Passeriformes"	"Oriolidae"	3803	"Oriolus oriolus"	"Oriolus oriolus (Linnaeus, 1758)"	"Loriot d'Europe, Loriot jaune"	"LC"	""			"NA"	"c"	"LC"	""							"NO3"	""	
"*  Pie-grièche écorcheur  ( Lanius collurio )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	3807	"Lanius collurio"	"Lanius collurio Linnaeus, 1758"	"Pie-grièche écorcheur"	"NT"	"pr. A2b"	"NA"	"c"	"NA"	"d"	"NT"	"pr. C1"					"CDO1"	""	"NO3"	""	
"*  Pie-grièche à poitrine rose  ( Lanius minor )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	3811	"Lanius minor"	"Lanius minor Gmelin, 1788"	"Pie-grièche à poitrine rose"	"CR"	"A2a B2ab(ii,v) C1+2a(i) D"			"NA"	"d"	"CR"	"C2a(i) D1"					"CDO1"	""	"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Pie-grièche masquée  ( Lanius nubicus )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	3813	"Lanius nubicus"	"Lanius nubicus Lichtenstein, 1823"	"Pie-grièche masquée"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Pie-grièche grise  ( Lanius excubitor )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	3814	"Lanius excubitor"	"Lanius excubitor Linnaeus, 1758"	"Pie-grièche grise"	"EN"	"A2b"	"NA"	"d"			"CR"	"C2a(i)"							"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Bergeronnette grise  ( Motacilla alba )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3941	"Motacilla alba"	"Motacilla alba Linnaeus, 1758"	"Bergeronnette grise"	"LC"	""	"NA"	"d"			"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Bergeronnette grise  ( Motacilla alba alba )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3943	"Motacilla alba alba"	"Motacilla alba alba Linnaeus, 1758"	"Bergeronnette grise"															"NO3"	""	
"*  -  ( Motacilla alba yarrellii )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3945	"Motacilla alba yarrellii"	"Motacilla alba yarrellii Gould, 1837"	""															"NO3"	""	
"*  Bergeronnette citrine  ( Motacilla citreola )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	3948	"Motacilla citreola"	"Motacilla citreola Pallas, 1776"	"Bergeronnette citrine"					"NA"	"b"									"NO4"	""	
"*  Jaseur boréal  ( Bombycilla garrulus )"	"Chordata"	"Aves"	"Passeriformes"	"Bombycillidae"	3953	"Bombycilla garrulus"	"Bombycilla garrulus (Linnaeus, 1758)"	"Jaseur boréal, Jaseur de Bohème"					"NA"	"b"									"NO4"	""	
"*  Cincle plongeur  ( Cinclus cinclus )"	"Chordata"	"Aves"	"Passeriformes"	"Cinclidae"	3958	"Cinclus cinclus"	"Cinclus cinclus (Linnaeus, 1758)"	"Cincle plongeur"	"LC"	""					"LC"	""							"NO3"	""	
"*  Troglodyte mignon  ( Troglodytes troglodytes )"	"Chordata"	"Aves"	"Passeriformes"	"Troglodytidae"	3967	"Troglodytes troglodytes"	"Troglodytes troglodytes (Linnaeus, 1758)"	"Troglodyte mignon"	"LC"	""	"NA"	"d"			"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Accenteur mouchet  ( Prunella modularis )"	"Chordata"	"Aves"	"Passeriformes"	"Prunellidae"	3978	"Prunella modularis"	"Prunella modularis (Linnaeus, 1758)"	"Accenteur mouchet"	"LC"	""	"NA"	"c"			"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Accenteur alpin  ( Prunella collaris )"	"Chordata"	"Aves"	"Passeriformes"	"Prunellidae"	3984	"Prunella collaris"	"Prunella collaris (Scopoli, 1769)"	"Accenteur alpin"	"LC"	""					"EN"	"D1"							"NO3"	""	
"*  Accenteur à gorge noire  ( Prunella atrogularis )"	"Chordata"	"Aves"	"Passeriformes"	"Prunellidae"	3991	"Prunella atrogularis"	"Prunella atrogularis (Brandt, 1844)"	"Accenteur à gorge noire"					"NA"	"b"									"NO4"	""	
"*  Agrobate roux  ( Cercotrichas galactotes )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	3996	"Cercotrichas galactotes"	"Cercotrichas galactotes (Temminck, 1820)"	"Agrobate roux"					"NA"	"b"									"NO4"	""	
"*  Rougegorge familier  ( Erithacus rubecula )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4001	"Erithacus rubecula"	"Erithacus rubecula (Linnaeus, 1758)"	"Rougegorge familier"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Rossignol progné  ( Luscinia luscinia )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4010	"Luscinia luscinia"	"Luscinia luscinia (Linnaeus, 1758)"	"Rossignol progné"					"NA"	"b"									"NO4"	""	
"*  Rossignol philomèle  ( Luscinia megarhynchos )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4013	"Luscinia megarhynchos"	"Luscinia megarhynchos C. L. Brehm, 1831"	"Rossignol philomèle"	"LC"	""			"NA"	"c"	"LC"	""							"NO3"	""	
"*  Rossignol calliope  ( Luscinia calliope )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4018	"Luscinia calliope"	"Luscinia calliope (Pallas, 1776)"	"Rossignol calliope, Calliope sibérienne"															"NO4"	""	
"*  Gorgebleue à miroir  ( Luscinia svecica )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4023	"Luscinia svecica"	"Luscinia svecica (Linnaeus, 1758)"	"Gorgebleue à miroir"	"LC"	""			"NA"	"c"							"CDO1"	""	"NO3"	""	
"*  -  ( Luscinia svecica svecica )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4026	"Luscinia svecica svecica"	"Luscinia svecica svecica (Linnaeus, 1758)"	""													"CDO1"	""	"NO3"	""	
"*  Gorgebleue à miroir blanc  ( Luscinia svecica cyanecula )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4027	"Luscinia svecica cyanecula"	"Luscinia svecica cyanecula (Wolf, 1810)"	"Gorgebleue à miroir blanc"													"CDO1"	""	"NO3"	""	
"*  Gorgebleue de Nantes  ( Luscinia svecica namnetum )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4028	"Luscinia svecica namnetum"	"Luscinia svecica namnetum Mayaud, 1934"	"Gorgebleue de Nantes"													"CDO1"	""	"NO3"	""	
"Robin à flancs roux  ( Tarsiger cyanurus )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4030	"Tarsiger cyanurus"	"Tarsiger cyanurus (Pallas, 1773)"	"Robin à flancs roux, Rossignol à flancs roux"					"NA"	"b"											
"*  Rougequeue noir  ( Phoenicurus ochruros )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4035	"Phoenicurus ochruros"	"Phoenicurus ochruros (S. G. Gmelin, 1774)"	"Rougequeue noir"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Rougequeue à front blanc  ( Phoenicurus phoenicurus )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4040	"Phoenicurus phoenicurus"	"Phoenicurus phoenicurus (Linnaeus, 1758)"	"Rougequeue à front blanc"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Rougequeue de Moussier  ( Phoenicurus moussieri )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4043	"Phoenicurus moussieri"	"Phoenicurus moussieri (Olphe-Galliard, 1852)"	"Rougequeue de Moussier"															"NO4"	""	
"*  Tarier des prés  ( Saxicola rubetra )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4049	"Saxicola rubetra"	"Saxicola rubetra (Linnaeus, 1758)"	"Tarier des prés, Traquet tarier"	"VU"	"A2b"			"DD"	""	"EN"	"A2c"							"NO3"	""	
"*  Traquet isabelle  ( Oenanthe isabellina )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4062	"Oenanthe isabellina"	"Oenanthe isabellina (Temminck, 1829)"	"Traquet isabelle"					"NA"	"b"									"NO4"	""	
"*  Traquet motteux  ( Oenanthe oenanthe )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4064	"Oenanthe oenanthe"	"Oenanthe oenanthe (Linnaeus, 1758)"	"Traquet motteux"	"NT"	"pr. A2b"			"DD"	""	"NT"	"pr. B(1+2)b(v) C(1+2)a(i)"							"NO3"	""	
"*  -  ( Oenanthe oenanthe oenanthe )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4067	"Oenanthe oenanthe oenanthe"	"Oenanthe oenanthe oenanthe (Linnaeus, 1758)"	""															"NO3"	""	
"*  -  ( Oenanthe oenanthe leucorhoa )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4068	"Oenanthe oenanthe leucorhoa"	"Oenanthe oenanthe leucorhoa (Gmelin, 1789)"	""															"NO3"	""	
"*  Traquet pie  ( Oenanthe pleschanka )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4070	"Oenanthe pleschanka"	"Oenanthe pleschanka (Lepechin, 1770)"	"Traquet pie"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Traquet oreillard  ( Oenanthe hispanica )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4074	"Oenanthe hispanica"	"Oenanthe hispanica (Linnaeus, 1758)"	"Traquet oreillard"	"EN"	"A2b"			"NA"	"d"	"EN"	"A2c B(1+2)ab(i,ii,iii,iv,v) C2a(i)"							"NO3"	""	"Déterminante à critère - Présence avec preuve de reproduction ou associé au cortège avifaunistique des déterminantes ZNIEFF inféodées aux garrigues"
"*  Traquet rieur  ( Oenanthe leucura )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4080	"Oenanthe leucura"	"Oenanthe leucura (Gmelin, 1789)"	"Traquet rieur"	"RE"	""			"NA"	"b"	"RE"	""					"CDO1"	""	"NO3"	""	
"*  Monticole de roche  ( Monticola saxatilis )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4084	"Monticola saxatilis"	"Monticola saxatilis (Linnaeus, 1766)"	"Monticole de roche, Merle de roche"	"NT"	"pr. C2b"			"NA"	"d"	"VU"	"C1"							"NO3"	""	
"*  Monticole bleu  ( Monticola solitarius )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4087	"Monticola solitarius"	"Monticola solitarius (Linnaeus, 1758)"	"Monticole bleu, Merle bleu"	"LC"	""					"VU"	"C1 D1"							"NO3"	""	
"*  Grivette à dos olive  ( Catharus ustulatus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4100	"Catharus ustulatus"	"Catharus ustulatus (Nuttall, 1840)"	"Grivette à dos olive, Grive à dos olive"					"NA"	"b"									"NO4"	""	
"*  Grive à joues grises  ( Catharus minimus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4106	"Catharus minimus"	"Catharus minimus (Lafresnaye, 1848)"	"Grive à joues grises"					"NA"	"b"									"NO4"	""	
"*  Merle à plastron  ( Turdus torquatus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4112	"Turdus torquatus"	"Turdus torquatus Linnaeus, 1758"	"Merle à plastron"	"LC"	""			"DD"	""	"NT"	"pr. EN (B(1+2)a)) pr. D1"							"NO3"	""	
"*  -  ( Turdus torquatus alpestris )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4114	"Turdus torquatus alpestris"	"Turdus torquatus alpestris (Brehm, 1831)"	""															"NO3"	""	
"*  -  ( Turdus torquatus torquatus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4116	"Turdus torquatus torquatus"	"Turdus torquatus torquatus Linnaeus, 1758"	""															"NO3"	""	
"Merle noir  ( Turdus merula )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4117	"Turdus merula"	"Turdus merula Linnaeus, 1758"	"Merle noir"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""					"CDO22"	""			
"*  Grive obscure  ( Turdus obscurus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4119	"Turdus obscurus"	"Turdus obscurus Gmelin, 1789"	"Grive obscure"					"NA"	"b"									"NO4"	""	
"*  Grive à ailes rousses  ( Turdus ruficollis )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4121	"Turdus ruficollis"	"Turdus ruficollis Pallas, 1776"	"Grive à ailes rousses, Grive à gorge rousse, Grive à gorge noire"					"NA"	"b"									"NO4"	""	
