"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Anthaxia godeti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11323	"Anthaxia godeti"	"Anthaxia godeti Gory & Laporte de Castelnau, 1839"	""			"LC"	""									
"-  ( Anthaxia nigritula )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11324	"Anthaxia nigritula"	"Anthaxia nigritula Ratzeburg, 1837"	""			"LC"	""									
"Richard Coeur de Lion  ( Anthaxia candens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11326	"Anthaxia candens"	"Anthaxia candens (Panzer, 1792)"	"Richard Coeur de Lion"			"LC"	""									
"-  ( Anthaxia istriana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11330	"Anthaxia istriana"	"Anthaxia istriana Rosenhauer, 1847"	""			"EN"	"B2ab(iii,iv)"									
"-  ( Acmaeodera bipunctata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11340	"Acmaeodera bipunctata"	"Acmaeodera bipunctata (Olivier, 1790)"	""			"LC"	""									
"Richard bosselé  ( Chrysobothris affinis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11348	"Chrysobothris affinis"	"Chrysobothris affinis (Fabricius, 1794)"	"Richard bosselé, Chrysobothre ressemblant"			"LC"	""									
"-  ( Chrysobothris chrysostigma )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11349	"Chrysobothris chrysostigma"	"Chrysobothris chrysostigma (Linnaeus, 1758)"	""			"NT"	"pr. B1ab(iii)"									
"Richard à fossettes  ( Chrysobothris solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11350	"Chrysobothris solieri"	"Chrysobothris solieri Gory & Laporte, 1837"	"Richard à fossettes"			"LC"	""									
"Richard en bandes organisées  ( Coraebus undatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11356	"Coraebus undatus"	"Coraebus undatus (Fabricius, 1787)"	"Richard en bandes organisées"			"VU"	"B2ab(iii)"									
"Agrile noir  ( Agrilus ater )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11361	"Agrilus ater"	"Agrilus ater (Linnaeus, 1767)"	"Agrile noir"			"LC"	""									
"Agrile ponctué  ( Agrilus biguttatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11362	"Agrilus biguttatus"	"Agrilus biguttatus (Fabricius, 1777)"	"Agrile ponctué, Agrile à deux points"			"NT"	"pr. B1ab(iii)"									
"-  ( Agrilus integerrimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11363	"Agrilus integerrimus"	"Agrilus integerrimus Ratzeburg, 1837"	""			"LC"	""									
"-  ( Agrilus viridis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11364	"Agrilus viridis"	"Agrilus viridis (Linnaeus, 1758)"	""			"LC"	""									
"Agrile du chêne  ( Agrilus angustulus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11367	"Agrilus angustulus"	"Agrilus angustulus (Illiger, 1803)"	"Agrile du chêne"			"LC"	""									
"-  ( Agrilus laticornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11368	"Agrilus laticornis"	"Agrilus laticornis (Illiger, 1803)"	""			"LC"	""									
