"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Taupin violacé  ( Limoniscus violaceus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	159441	"Limoniscus violaceus"	"Limoniscus violaceus (P.W.J. Müller, 1821)"	"Taupin violacé"					"CDH2"	""							
"*  Cucujus vermillon  ( Cucujus cinnaberinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cucujidae"	159452	"Cucujus cinnaberinus"	"Cucujus cinnaberinus (Scopoli, 1763)"	"Cucujus vermillon"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Rhizotrogus rugifrons )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200353	"Rhizotrogus rugifrons"	"Amadotrogus vicinus (Mulsant, 1842)"	""													"Déterminante"
"-  ( Anoxia matutinalis corsicana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200382	"Anoxia matutinalis corsicana"	"Anoxia matutinalis corsicana Sabatinelli, 1976"	""													"Déterminante"
"-  ( Cetonia carthami carthami )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200407	"Cetonia carthami carthami"	"Cetonia carthami carthami Gory & Percheron, 1833"	""													"Déterminante"
"-  ( Rhizotrogus fossulatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200447	"Rhizotrogus fossulatus"	"Firminus fossulatus (Mulsant & Rey, 1859)"	""													"Déterminante"
"-  ( Rhizotrogus bellieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200448	"Rhizotrogus bellieri"	"Firminus bellieri (Reiche, 1862)"	""													"Déterminante"
"Hybosorus d'Illiger  ( Hybosorus arator )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Hybosoridae"	200466	"Hybosorus arator"	"Hybosorus illigeri Reiche, 1853"	"Hybosorus d'Illiger"													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"Lucane Cerf-volant  ( Lucanus cervus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200478	"Lucanus cervus cervus"	"Lucanus cervus cervus (Linnaeus, 1758)"	"Lucane Cerf-volant"					"CDH2"	""							
"Cerf-volant méridional  ( Lucanus tetraodon )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200479	"Lucanus tetraodon"	"Lucanus tetraodon Thunberg, 1806"	"Cerf-volant méridional"													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"-  ( Aphodius (Melinopterus) stolzi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200484	"Aphodius (Melinopterus) stolzi"	"Melinopterus stolzi (Reitter, 1906)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Mimela junii rugosula )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200494	"Mimela junii rugosula"	"Mimela junii rugosula (Fairmaire, 1859)"	""													"Déterminante"
"*  Barbot  ( Osmoderma eremita eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200519	"Osmoderma eremita eremita"	"Osmoderma eremita eremita (Scopoli, 1763)"	"Barbot, Pique-prune"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Platytomus laevistriatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200546	"Platytomus laevistriatus"	"Platytomus laevistriatus (Perris, 1869)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"-  ( Rhizotrogus sassariensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200581	"Rhizotrogus sassariensis"	"Rhizotrogus sassariensis Perris, 1870"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Rhyssemus sardous )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200589	"Rhyssemus sardous"	"Rhyssemus sardous Pierotti, 1980"	""													"Déterminante"
"-  ( Aphodius (Subrinus) vitellinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200603	"Aphodius (Subrinus) vitellinus"	"Subrinus vitellinus (Klug, 1845)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
