"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Coeliodinus rubicundus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242737	"Coeliodinus rubicundus"	"Coeliodinus rubicundus (Herbst, 1795)"	""			"LC"	""									
"-  ( Coeliodes rana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242738	"Coeliodes rana"	"Coeliodes rana (Fabricius, 1787)"	""			"LC"	""									
"-  ( Coeliodes transversealbofasciatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242739	"Coeliodes transversealbofasciatus"	"Coeliodes transversealbofasciatus (Goeze, 1777)"	""			"LC"	""									
"-  ( Ceutorhynchus atomus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242740	"Ceutorhynchus atomus"	"Ceutorhynchus atomus Boheman, 1845"	""			"LC"	""									
"-  ( Ceutorhynchus cochleariae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242742	"Ceutorhynchus cochleariae"	"Ceutorhynchus cochleariae (Gyllenhal, 1813)"	""			"LC"	""									
"-  ( Ceutorhynchus fulvitarsis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242745	"Ceutorhynchus fulvitarsis"	"Ceutorhynchus fulvitarsis Gougelet & H. Brisout de Barneville, 1860"	""			"LC"	""									
"-  ( Ceutorhynchus obstrictus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242752	"Ceutorhynchus obstrictus"	"Ceutorhynchus obstrictus (Marsham, 1802)"	""			"LC"	""									
"-  ( Ceutorhynchus typhae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242761	"Ceutorhynchus typhae"	"Ceutorhynchus typhae (Herbst, 1795)"	""			"LC"	""									
"-  ( Magdalis violacea )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242777	"Magdalis violacea"	"Magdalis violacea (Linnaeus, 1758)"	""			"LC"	""									
"-  ( Leiosoma oblongulum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242782	"Leiosoma oblongulum"	"Leiosoma oblongulum Boheman, 1842"	""			"LC"	""									
"-  ( Aparopion chevrolati )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242785	"Aparopion chevrolati"	"Aparopion chevrolati (Jacquelin du Val, 1855)"	""			"LC"	""									
"Pissode du pin  ( Pissodes castaneus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242787	"Pissodes castaneus"	"Pissodes castaneus (De Geer, 1775)"	"Pissode du pin"			"LC"	""									
"-  ( Pissodes pini )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242788	"Pissodes pini"	"Pissodes pini (Linnaeus, 1758)"	""			"LC"	""									
"-  ( Dryophthorus corticalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dryophthoridae"	242789	"Dryophthorus corticalis"	"Dryophthorus corticalis (Paykull, 1792)"	""			"LC"	""									
"-  ( Pericartiellus flavidus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Brentidae"	242794	"Pericartiellus flavidus"	"Pericartiellus flavidus (Aubé, 1850)"	""			"LC"	""									
"-  ( Microon sahlbergi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Brentidae"	242801	"Microon sahlbergi"	"Microon sahlbergi (C.R. Sahlberg, 1835)"	""			"LC"	""									
"-  ( Dieckmanniellus gracilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Brentidae"	242802	"Dieckmanniellus gracilis"	"Dieckmanniellus gracilis (L. Redtenbacher, 1847)"	""			"LC"	""									
"-  ( Ctenomeropsis nigra )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Brentidae"	242806	"Ctenomeropsis nigra"	"Ctenomeropsis nigra (Waltl, 1835)"	""			"VU"	"B2ab(iii)"									"Déterminante"
"-  ( Acylophorus glaberrimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	243139	"Acylophorus glaberrimus"	"Acylophorus glaberrimus (Herbst, 1784)"	""													"Déterminante"
"-  ( Acylophorus wagenschieberi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	243140	"Acylophorus wagenschieberi"	"Acylophorus wagenschieberi Kiesenwetter, 1850"	""													"Déterminante"
"-  ( Atanygnathus terminalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	243190	"Atanygnathus terminalis"	"Atanygnathus terminalis (Erichson, 1839)"	""													"Déterminante"
"-  ( Tetartopeus terminatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	243257	"Tetartopeus terminatus"	"Tetartopeus terminatus (Gravenhorst, 1802)"	""													"Déterminante"
"-  ( Lathrobium rufipenne )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	243288	"Lathrobium rufipenne"	"Lathrobium rufipenne Gyllenhal, 1813"	""													"Déterminante"
"Pince-monseigneur  ( Prostomis mandibularis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Prostomidae"	244583	"Prostomis mandibularis"	"Prostomis mandibularis (Fabricius, 1801)"	"Pince-monseigneur"			"NT"	"pr. B2ab(iii)"									"Déterminante"
"-  ( Alphitobius diaperinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244606	"Alphitobius diaperinus"	"Alphitobius diaperinus (Panzer, 1796)"	""			"LC"	""									
"-  ( Eledona agricola )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244612	"Eledona agricola"	"Eledona agricola (Herbst, 1783)"	""			"LC"	""									
"Lépreux des mycètes  ( Bolitophagus reticulatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244614	"Bolitophagus reticulatus"	"Bolitophagus reticulatus (Linnaeus, 1767)"	"Lépreux des mycètes"			"LC"	""									
"Hélope brune  ( Nalassus laevioctostriatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244637	"Nalassus laevioctostriatus"	"Nalassus laevioctostriatus (Goeze, 1777)"	"Hélope brune"			"LC"	""									
"-  ( Scaphidema metallica )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244657	"Scaphidema metallica"	"Scaphidema metallica (Fabricius, 1792)"	""			"LC"	""									
